Type,Name,Status,DEFCON,Genre,No of Pages,Score /5,Author,Publisher,Publishing/Release Year,Summary,Purchase Date,Start Date,End Date,Total Time,Book Type 1,Notes Availability,Completed Year
Book,Startup Ideas 2020,Yet to start,1,Startup,75,,Dr. John Phillip,,,Build your own company,,,,,Ebook,,
Book,Climb you way out of hell,Yet to start,2,Marketing,108,,Pravin Shekar,Notion Press,,Outlier Marketing to overcome worst-case scenarios and grow your business,,,,,Ebook,,
Book,Preparing for Product Interviews,Yet to start,2,Interview,116,,"Advaith Sridhar, Akash Ramadoss",Prowess Publishings,,A Productive guide to landing a PM job,,,,,Ebook,,
Book,Mental Models,Yet to start,1,"Mental Fitness, Self Help",118,,Peter Hollins,,,"30 thinking tools that separate the average from the exceptional. Improved decision-making, logical analysis, and problem-solving",,,,,Ebook,,
Book,A Thought to a Million Dollar Startup,Yet to start,2,Startup,129,,"Salma Moosa, Vivek Srinivasan",,,Reality depends on your vantage point,,,,,Ebook,,
Book,41 Tips for Success in Share Market,Yet to start,3,Finance,134,,Mahesh Chandra Kaushik,Prabhat,,,,,,,Ebook,,
Book,How to Stop Worrying and Start Living,Yet to start,2,Self Help,155,,Dale Carnegie,Manjul Publication,,Time tested methods for conquering worry,,,,,Ebook,,
Book,The Richest Man in Babylon,Yet to start,2,"Finance, Self Help",155,,George S. Clason,Fingerprint Classics,,The success secrets of the ancients - there most inspiring book on wealth ever written,,,,,Paperback,,
Book,Be a Human Calculator,Yet to start,2,Self Help,163,,Rajesh Sarwat,Notion Press,,Mere observation no magic,,,,,Ebook,,
Book,Meditations and its Methods,Yet to start,2,"Mental Fitness, Wellness",165,,Swami Vivekananda,Grapevine,,,,,,,Paperback,,
Book,Life's Amazing Secrets,Yet to start,2,"Mental Fitness, Self Help",168,,Gaur Gopal Das,Penguin Group,,How to find balance and purpose in your life,,,,,Ebook,,
Book,Obviously Awesome,Yet to start,1,"Entrepreneurship, Startup",189,,April Dunford,,,"How to nail product positioning so that customer Get it, Buy it, Love it",,,,,Ebook,,
Book,Why I Stopped Wearing My Socks,Yet to start,2,Startup,192,,Alok Kejriwal,Westland Publications,,,,,,,Ebook,,
Book,How to start a business in india,Yet to start,2,"Business, Entrepreneurship, Startup",193,,Simon Daniel,Buuks,,"Generate great business idea, Art of marketing and finance control, Critical 1000 days and many more",,,,,Ebook,,
Book,The Manual for Indian Start-ups,Yet to start,1,Startup,193,,"Alok Mittal, Mena Ganesh, Sadagopan, Sriram Subramanya, Vijaya Kumar ivaturi",,,Tools to start and scale up your new venture,,,,,Ebook,,
Book,Speak to win,Yet to start,1,"Communication, Self Help",194,,Brian Tracy,Amacom,2008,How to present with power in any situation,,,,,Paperback,No,
Book,The Automatic Millionaire,Yet to start,2,Finance,195,,David Bach,,,A powerful one step plan to live and finish rich,,,,,Ebook,,
Book,Rapid Idea Generation,Yet to start,1,Creativity,199,,Peter Hollins,,,"How to create, innovate, conceive, and invent from scratch",,,,,Ebook,,
Book,How to develop self-confidence & influence people by public speaking,Yet to start,2,"Communication, Self Help",200,,Dale Carnegie,Amazing reads,,,,,,,Paperback,,
Book,Getting to Yes,Yet to start,2,Sales,204,,"Roger Fisher, William Ury",RH Business Books,,Negotiating an agreement without giving in,,,,,Paperback,,
Book,Good To Great,Yet to start,1,Entrepreneurship,206,,Jim Collins,Random House Business,2001,Why some companies make the leap ... and others don't,"April 19, 2021",,,,Hardcover,,
Book,The Effective Executive,Yet to start,1,Entrepreneurship,206,,Peter F. Drucker,Harper Collins Publishers,,The definitive guide to getting the right things done,,,,,Ebook,,
Book,Profit First,Yet to start,1,"Entrepreneurship, Startup",208,,Mike Michalowicz,,,Transform your business from cash eating monster to a money making machine,,,,,Ebook,,
Book,Catalyst,Yet to start,3,"Entrepreneurship, Self Help",208,,Chandramouli Venkatesan,Penguin Group,2018,The Ultimate strategies on how to win at life and work,,,,,Ebook,,
Book,7 Powers,Yet to start,1,"Business, Entrepreneurship, Startup",210,,Hamilton Helmer,Zaccheus Entertainment,2016,Foundation of business strategy,,,,,Ebook,,
Book,Secret of Success and Happy Heart,Yet to start,3,Self Help,211,,Vikas Chadha,,,Stories of Inspiration,,,,,Ebook,,
Book,Above and Beyond,Yet to start,2,Business,214,,R. Srinivasan,,,How to build impactful business,,,,,Hardcover,,
Book,The One Thing,Yet to start,2,Self Help,214,,Gary Keller,,,The suprising simple truth behind extraordinary  results,,,,,Ebook,,
Book,The 60 Minute Tech Startup,Yet to start,1,Startup,215,,Ramesh Dontha,,,How to start a tech company as a side hustle in 1 how a day and get customer in 30 days (or less),,,,,Ebook,,
Book,Drive,Yet to start,2,Self Help,216,,Daniel H Pink,,,The suprising truth about what motivates us,,,,,Ebook,,
Book,Business made simple,Yet to start,1,"Business, Entrepreneurship, Startup",219,,Donald Miller,,2021,"60 days to master leadership, sales, marketing, execution, management, personal productivity and more.","January 19, 2021",,,,Ebook,No,
Book,"Ready, Study, Go",Yet to start,3,Self Help,222,,"Dinesh Ghodke, Khurshed Batliwala",Harper Collins Publishers,,Smart ways to learn,,,,,Paperback,,
Book,Demand Side Sales,Yet to start,1,Sales,224,,"Bob Moesta, Greg Engle",Lion Crest,,Stop selling and help your customers make progress,,,,,Ebook,,
Book,Cognitive Fitness,Yet to start,2,"Mental Fitness, Self Help",227,,Anil Rajput,,,Pain is inevitable how to alleviate it and use it to your advantage,,,,,Paperback,,
Book,30 Days,Yet to start,2,"Productivity, Self Help",232,,Marc Reklau,Rupa Publications India,2019,"Change your habits, Change your life",,,,,Ebook,,
Book,Continuous Discovery Habits,Yet to start,1,"Product, Startup",232,,Teresa Torres,Product Talks,2021,Discover products that creates customer value and business value,,,,,Paperback,,
Book,From Incremental to Exponential,Yet to start,2,"Entrepreneurship, Startup",235,,"Ismail Amla, Vivek Wadhwa",Harper Collins Publishers,,How large companies can see the future and rethink innovation,,,,,Ebook,,
Book,The 10 Rules Of Successful Nations,Yet to start,3,Economics,235,,Ruchir Sharma,Penguin Group,2020,,,,,,Paperback,,
Book,The Business of Platforms,Yet to start,1,"Business, Startup",237,,"Annabelle Gawer, David B. Yoffie, Michael A. Cusumano",Harper Collins Publishers,2019,"Strategy in the age of Digital Competition, Innovation, and Power",,,,,Hardcover,,
Book,Company of One,Yet to start,2,Startup,238,,Paul Jarvis,,,Why starting small is the next best thing in business,,,,,Ebook,,
Book,High Output Management,Yet to start,2,"Business, Entrepreneurship",243,,Andrew S. Grove,Vintage,,,,,,,Paperback,,
Book,The Secret of Leadership,Yet to start,1,Self Help,250,,Prakash Iyer,,,"Stories to awaken, inspire and unleash the leaders within",,,,,Ebook,,
Book,The System Design Interview,Yet to start,1,"Computer Science, Interview, System Design",252,,"Lewis C. Lin, Shivam P. Patel",,2021,Featuring the PEDALS Methods,"October 21, 2021",,,,Paperback,,
Book,Digital Minimalism,Yet to start,1,Self Help,254,,Cal Newport,Penguin Group,2019,Choosing a Focused Life in a Noisy World,,,,,Paperback,,
Book,The one-page content Marketing Blueprint,Yet to start,3,Marketing,255,,Prafull Sharma,Axeman,,"Step by step guide to launch a winning content marketing strategy in 90 days or less and double your inbound traffic, leads, and sales",,,,,Ebook,,
Book,The Power of your Subconscious Mind,Yet to start,1,"Mental Fitness, Self Help",256,,Dr. Joseph Murphy,Fingerprint Classics,,Unlock your master key to success,,,,,Paperback,,
Book,Masters of Scale,Yet to start,1,Startup,257,,"Deron Triff, June Cohen, Reid Hoffman",Penguin Group,2021,Surprising truths from the world's most successful entrepreneurs,"October 21, 2021",,,,Paperback,,
Book,Algorithms to Live By,Yet to start,1,,262,,"Brian Christian, Tom Griffiths",Harper Collins Publishers,2016,The computer science of human decisions,,,,,Paperback,,
Book,Mindset,Yet to start,1,Self Help,264,,Carol S Dweck,Robinson,2017,Changing the way you think to fulfill your potential,,,,,Paperback,,
Book,The Future is faster than you think,Yet to start,1,Self Help,270,,"Peter H.Diamandis, Steven Kotler",Simon & Schuster,2020,"How converging technologies are transforming business, industries, and our lives",,,,,Paperback,,
